ID,time,length,neonates,f1_treatment,lifespan,DL,cum.n
1,0,0.882,0,high,55,1.749,0
1,8,2.631,4,high,55,0.131,4
1,11,2.762,28,high,55,0.201,32
1,15,2.963,12,high,55,0.087,44
1,17,3.05,20,high,55,0.236,64
1,20,3.286,10,high,55,0.026,74
1,25,3.312,11,high,55,0.296,85
1,28,3.608,17,high,55,0.037,102
1,30,3.645,11,high,55,0.019,113
1,33,3.664,19,high,55,0.015,132
1,37,3.679,3,high,55,0.019,135
1,39,3.698,11,high,55,0.031,146
1,42,3.729,6,high,55,0.013,152
1,45,3.742,13,high,55,0.013,165
1,47,3.755,14,high,55,0.021,179
1,50,3.776,16,high,55,0.066,195
1,53,3.842,20,high,55,NA,215
4,0,0.516,0,var,63,1.997,0
4,12,2.513,11,var,63,0.389,11
4,19,2.902,18,var,63,0.217,29
4,21,3.119,18,var,63,0.277,47
4,25,3.396,23,var,63,0.187,70
4,28,3.583,27,var,63,0.053,97
4,31,3.636,17,var,63,0.029,114
4,35,3.665,9,var,63,0.035,123
4,39,3.7,19,var,63,0.002,142
4,43,3.702,20,var,63,0.011,162
4,46,3.713,20,var,63,0.003,182
4,50,3.716,26,var,63,0.007,208
4,58,3.723,5,var,63,0.044,213
4,61,3.767,11,var,63,NA,224
6,0,0.574,0,var,62,1.743,0
6,11,2.317,10,var,62,0.652,10
6,18,2.969,24,var,62,0.109,34
6,21,3.078,25,var,62,0.28,59
6,25,3.358,20,var,62,0.094,79
6,29,3.452,24,var,62,0.129,103
6,32,3.581,22,var,62,0.081,125
6,36,3.662,4,var,62,0.008,129
6,39,3.67,21,var,62,0.0215,150
6,44,3.6915,14,var,62,0.0215,164
6,46,3.713,14,var,62,0.025,178
6,50,3.738,9,var,62,0.025,187
6,53,3.763,29,var,62,0.046,216
6,57,3.809,9,var,62,0.003,225
6,61,3.812,19,var,62,NA,244
8,0,0.588,0,var,75,0.97,0
8,11,1.558,8,var,75,1.017,8
8,16,2.575,15,var,75,1.006,23
8,18,3.581,21,var,75,0.107,44
8,21,3.688,17,var,75,0.193,61
8,24,3.881,19,var,75,0.091,80
8,28,3.972,31,var,75,0.028,111
8,31,4,24,var,75,0.168,135
8,38,4.168,10,var,75,0.053,145
8,43,4.221,14,var,75,0.079,159
8,45,4.3,16,var,75,0.071,175
8,49,4.371,9,var,75,0.03,184
8,52,4.401,23,var,75,0.051,207
8,59,4.452,30,var,75,0.037,237
8,63,4.489,14,var,75,0.014,251
8,66,4.503,19,var,75,0.02,270
8,71,4.523,9,var,75,0.02,279
8,75,4.543,14,var,75,NA,293
10,0,0.651,0,high,42,2.041,0
10,11,2.692,32,high,42,0.302,32
10,15,2.994,12,high,42,0.028,44
10,17,3.022,18,high,42,0.155,62
10,19,3.177,15,high,42,0.023,77
10,22,3.2,11,high,42,0.173,88
10,24,3.373,12,high,42,0.111,100
10,27,3.484,11,high,42,0.081,111
10,30,3.565,17,high,42,0.042,128
10,33,3.607,16,high,42,0.041,144
10,35,3.648,9,high,42,0.03,153
10,42,3.678,9,high,42,NA,162
11,0,0.678,0,high,65,1.889,0
11,8,2.567,11,high,65,0.057,11
11,11,2.624,26,high,65,0.421,37
11,15,3.045,13,high,65,0.065,50
11,17,3.11,19,high,65,0.039,69
11,19,3.149,23,high,65,0.023,92
11,22,3.172,6,high,65,0.267,98
11,27,3.439,11,high,65,0.134,109
11,30,3.573,17,high,65,0.015,126
11,39,3.588,15,high,65,0.01,141
11,42,3.598,16,high,65,0.003,157
11,45,3.601,19,high,65,0.128,176
11,47,3.729,14,high,65,0.001,190
11,50,3.73,12,high,65,0.001,202
11,53,3.731,10,high,65,0.015,212
11,59,3.746,8,high,65,0.002,220
11,61,3.748,14,high,65,0.001,234
11,64,3.749,2,high,65,NA,236
14,0,0.497,0,high,1,NA,0
17,0,0.576,0,low,31,2.035,0
17,23,2.611,11,low,31,NA,11
20,0,0.595,0,low,60,2.224,0
20,20,2.819,9,low,60,0.427,9
20,27,3.246,13,low,60,0.07,22
20,31,3.316,20,low,60,0.135,42
20,36,3.451,24,low,60,0.133,66
20,42,3.584,16,low,60,0.098,82
20,48,3.682,10,low,60,0.098,92
20,54,3.78,23,low,60,0.019,115
20,60,3.799,12,low,60,NA,127
23,0,0.676,0,low,73,2.246,0
23,23,2.922,10,low,73,0.247,10
23,28,3.169,19,low,73,0.16,29
23,33,3.329,21,low,73,0.004,50
23,40,3.333,5,low,73,0.046,55
23,44,3.379,17,low,73,0.082,72
23,49,3.461,24,low,73,0.017,96
23,55,3.478,8,low,73,0.011,104
23,60,3.489,15,low,73,0.012,119
23,65,3.501,25,low,73,0.011,144
23,71,3.512,14,low,73,NA,158
26,0,0.567,0,mean,41,2.134,0
26,9,2.701,8,mean,41,0.11,8
26,12,2.811,7,mean,41,0.247,15
26,15,3.058,14,mean,41,0.044,29
26,18,3.102,24,mean,41,0.239,53
26,25,3.341,7,mean,41,0.239,60
26,28,3.58,26,mean,41,0.062,86
26,31,3.642,13,mean,41,0.062,99
26,34,3.704,13,mean,41,0.008,112
26,38,3.712,11,mean,41,0.008,123
26,41,3.72,14,mean,41,NA,137
29,0,0.587,0,mean,54,2.093,0
29,11,2.68,10,mean,54,0.327,10
29,15,3.007,18,mean,54,0.1,28
29,17,3.107,25,mean,54,0.119,53
29,21,3.226,13,mean,54,0.093,66
29,24,3.319,11,mean,54,0.008,77
29,27,3.327,23,mean,54,0.194,100
29,29,3.521,26,mean,54,0.19,126
29,31,3.711,15,mean,54,0.051,141
29,34,3.762,22,mean,54,0.039,163
29,37,3.801,26,mean,54,0.033,189
29,44,3.834,15,mean,54,0.033,204
